"Female","Month","Repro","BCI","NewMeanGroup","Rain"
"126","Lumpy","Dec","MPY","1",3.73,78.5
"127","Blondie","Jul","MPY","3",4.85,19
"128","Dot","Jul","MPY","2",7.45,19
"129","Odette","Jul","MPY","3",4,19
"130","Stripes","Jul","MPY","2",4.8,19
"131","Tilly","Jul","MPY","2",6.45,19
"132","Alison","Aug","MPY","3",7.67,19
"133","Celine","Aug","MPY","2",6.17,12.75
"134","Ellie","Aug","MPY","1",5.25,12.75
"135","Odette","Aug","MPY","2",4.72,12.75
"136","Darcy","Sep","MPY","2",6.54,50.8
"137","Emma","Sep","MPY","1",3.67,50.8
"138","Esther","Sep","MPY","2",6.77,50.8
"139","Matilda","Sep","MPY","3",6.7,50.8
"140","Nikita","Sep","MPY","1",3.23,50.8
"141","Cotton","Oct","MPY","2",6.18,59.55
"142","Amy","Nov","MPY","1",3.44,92.45
"143","Mary","Nov","MPY","2",4.75,92.45
"144","Susan","Nov","MPY","2",3,92.45
"145","Dash","Dec","MPY","3",8.54,78.5
"146","Jacquei","Dec","MPY","3",8.45,78.5
"147","Robin","Dec","MPY","2",7.82,78.5
"148","Cotton","Aug","MPY","2",11.88,54.5
"149","Longnose","Aug","MPY","1",11.8,54.5
"150","Nina","Jun","MPY","3",2.75,20.3
"151","Blondie","Jul","MPY","3",4.15,40.2
"152","Nikki","Aug","MPY","2",7.83,11
"153","Helen","Sep","MPY","2",6.75,49.8
"154","Mollie","Sep","MPY","2",10.18,49.8
"155","Shaddow","Sep","MPY","2",3.73,49.8
"156","Bonnie","Jul","MPY","2",5.7,19
"157","Candice","Jul","MPY","2",6.11,19
"158","Deberah","Jul","MPY","1",4.13,19
"159","Firefly","Jul","MPY","2",6.25,19
"160","Longnose","Jul","MPY","1",5,19
"161","Qantas","Jul","MPY","3",5.36,19
"162","Camilla","Aug","MPY","2",4.7,12.75
"163","Deberah","Aug","MPY","1",4.67,12.75
"164","Firefly","Aug","MPY","3",6.9,12.75
"165","Goggles","Aug","MPY","2",7.09,12.75
"166","Jo","Aug","MPY","2",7.5,12.75
"167","Nikita","Aug","MPY","1",8.18,12.75
"168","Qantas","Aug","MPY","2",6.82,12.75
"169","Tilly","Aug","MPY","3",7.18,12.75
"170","Amanda","Sep","MPY","2",7.15,50.8
"171","Delilah","Sep","MPY","1",6.9,50.8
"172","Granite","Sep","MPY","1",5.4,50.8
"173","Kiwi","Sep","MPY","3",3.5,50.8
"174","Dash","Oct","MPY","2",6.3,59.55
"175","Deberah","Oct","MPY","1",4.56,59.55
"176","Emma","Oct","MPY","2",5.36,59.55
"177","Esther","Oct","MPY","3",6.4,59.55
"178","Justine","Oct","MPY","1",5.27,59.55
"179","Pixie","Oct","MPY","2",6.89,59.55
"180","Taz","Oct","MPY","3",5.11,59.55
"181","Jacquei","Nov","MPY","3",4.75,92.45
"182","Louise","Dec","MPY","2",7,78.5
"183","Mary","Dec","MPY","3",8.25,78.5
"184","Susan","Dec","MPY","2",7.91,78.5
"185","Goggles","Sep","MPY","2",17.33,2.8
"186","Lydia","Sep","MPY","3",9.5,2.8
"187","Robin","Oct","MPY","3",3.89,27.8
"188","Olive","Nov","MPY","1",3.89,37.1
"189","Bene","Oct","MPY","3",5,23.9
"190","Odette","Oct","MPY","2",3,23.9
"191","Stripes","Jan","MPY","2",4.5,13.8
"192","Darcy","Aug","MPY","2",5.47,11
"193","Emma","Aug","MPY","2",6.07,11
"194","Apanie","Jul","MPY","2",5.36,19
"195","Camilla","Jul","MPY","1",5.25,19
"196","Celine","Jul","MPY","2",7.08,19
"197","Ellie","Jul","MPY","1",4.9,19
"198","Jo","Jul","MPY","2",6.5,19
"199","Nina","Jul","MPY","3",6,19
"200","Bonnie","Aug","MPY","1",6.45,12.75
"201","Delilah","Aug","MPY","2",7.27,12.75
"202","Esther","Aug","MPY","2",8.54,12.75
"203","Hazel","Aug","MPY","3",4.82,12.75
"204","Jill","Aug","MPY","2",4.54,12.75
"205","Alicia","Sep","MPY","1",3.75,50.8
"206","Deberah","Sep","MPY","1",6.75,50.8
"207","Dianne","Sep","MPY","2",7.17,50.8
"208","Ellie","Sep","MPY","1",5.58,50.8
"209","Joy","Sep","MPY","3",6.25,50.8
"210","Robin","Nov","MPY","2",4.91,92.45
"211","Stripes","Apr","MPY","2",3,15.1
"212","Celine","Jul","MPY","3",5,42.2
"213","Cotton","Sep","MPY","2",18.42,2.8
"214","Ellie","Sep","MPY","2",17.82,2.8
"215","Hazel","Sep","MPY","1",8.2,2.8
"216","Martha","Sep","MPY","2",11.71,2.8
"217","Pebbles","Sep","MPY","1",7.56,2.8
"218","Alison","Oct","MPY","3",9.36,27.8
"219","Brigit","Oct","MPY","2",11.15,27.8
"220","Yvonne","Oct","MPY","2",2.91,27.8
"221","Longnose","Jun","MPY","2",3.56,20.3
"222","Qantas","Jun","MPY","2",4,20.3
"223","Goggles","Jul","MPY","2",7.63,80.4
"224","Lauren","Aug","MPY","2",4.88,32.4
"225","Jacquei","Sep","MPY","2",4.33,6
"226","Naomi","Oct","MPY","2",6.5,23.9
"227","Bene","Nov","MPY","2",5,59.8
"228","Amanda","Jan","MPY","1",3.82,13.8
"229","Dot","May","MPY","2",6.2,68.4
"230","Lauren","May","MPY","2",7.75,68.4
"231","Bonnie","Aug","MPY","2",5.6,11
"232","Candice","Aug","MPY","2",8.35,11
"233","Dot","Aug","MPY","2",10.13,11
