UniqueID,Year,Admin,Longitude,Latitude,Area
9519,1999,2,-35.08005625,-8.271341838,708.0430341
9525,1999,2,-34.99495414,-7.984535625,708.0430341
9576,1999,2,-34.99908888,-8.154737775,708.0430341
9599,1999,2,-35.23556536,-7.733135553,708.0430341
9600,1999,2,-34.86446703,-7.999332773,708.0430341
9621,1999,2,-34.93042692,-8.044208784,708.0430341
9941,1999,2,-43.05519939,-22.91658456,708.0430341
9961,1999,2,-43.45091073,-22.92497304,708.0430341
10553,1999,2,-52.31308219,-28.00867841,708.0430341
11537,1999,2,-49.35821499,-20.79678619,708.0430341
11543,1999,2,-46.64735526,-23.64969432,708.0430341
6865,2000,2,-38.501414,-12.972218,708.0430341
7936,2000,2,-43.95973192,-19.90239669,708.0430341
8583,2000,2,-44.86214932,-15.89675881,708.0430341
9492,2000,2,-35.94366862,-8.453952943,708.0430341
9519,2000,2,-35.08005625,-8.271341838,708.0430341
9525,2000,2,-34.99495414,-7.984535625,708.0430341
9576,2000,2,-34.99908888,-8.154737775,708.0430341
9599,2000,2,-35.23556536,-7.733135553,708.0430341
9600,2000,2,-34.86446703,-7.999332773,708.0430341
9621,2000,2,-34.93042692,-8.044208784,708.0430341
9941,2000,2,-43.05519939,-22.91658456,708.0430341
9961,2000,2,-43.45091073,-22.92497304,708.0430341
10553,2000,2,-52.31308219,-28.00867841,708.0430341
11537,2000,2,-49.35821499,-20.79678619,708.0430341
6509,2001,2,-60.25902124,-2.625919467,708.0430341
7936,2001,2,-43.95973192,-19.90239669,708.0430341
8583,2001,2,-44.86214932,-15.89675881,708.0430341
9183,2001,2,-49.28905096,-25.47596512,708.0430341
9492,2001,2,-35.94366862,-8.453952943,708.0430341
9519,2001,2,-35.08005625,-8.271341838,708.0430341
9525,2001,2,-34.99495414,-7.984535625,708.0430341
9576,2001,2,-34.99908888,-8.154737775,708.0430341
9599,2001,2,-35.23556536,-7.733135553,708.0430341
9600,2001,2,-34.86446703,-7.999332773,708.0430341
9621,2001,2,-34.93042692,-8.044208784,708.0430341
9941,2001,2,-43.05519939,-22.91658456,708.0430341
9961,2001,2,-43.45091073,-22.92497304,708.0430341
9977,2001,2,-42.66673053,-22.11233144,708.0430341
10553,2001,2,-52.31308219,-28.00867841,708.0430341
11537,2001,2,-49.35821499,-20.79678619,708.0430341
6661,2002,2,-39.03762737,-12.18689251,708.0430341
6969,2002,2,-39.31264856,-7.375974022,708.0430341
7005,2002,2,-38.52850792,-3.784849794,708.0430341
7045,2002,2,-39.28221936,-7.181933801,708.0430341
7224,2002,2,-48.99302661,-16.28717612,708.0430341
7227,2002,2,-49.26596993,-16.81184909,708.0430341
7256,2002,2,-48.64542283,-17.70872096,708.0430341
7301,2002,2,-49.27509198,-16.64207616,708.0430341
7402,2002,2,-51.03784727,-17.73913499,708.0430341
7687,2002,2,-54.24939436,-20.91267252,708.0430341
7936,2002,2,-43.95973192,-19.90239669,708.0430341
9183,2002,2,-49.28905096,-25.47596512,708.0430341
9281,2002,2,-51.10524609,-23.52357728,708.0430341
9450,2002,2,-51.86638849,-23.4678191,708.0430341
9621,2002,2,-34.93042692,-8.044208784,708.0430341
9941,2002,2,-43.05519939,-22.91658456,708.0430341
9961,2002,2,-43.45091073,-22.92497304,708.0430341
9977,2002,2,-42.66673053,-22.11233144,708.0430341
10455,2002,2,-51.16277259,-30.09732789,708.0430341
11010,2002,2,-50.57418267,-21.11328757,708.0430341
